"Step","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup10_FINAL - train_loss","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup10_FINAL - train_loss__MIN","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup10_FINAL - train_loss__MAX","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup5_FINAL - train_loss","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup5_FINAL - train_loss__MIN","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup5_FINAL - train_loss__MAX","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup1_FINAL - train_loss","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup1_FINAL - train_loss__MIN","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup1_FINAL - train_loss__MAX","r50_imagenet_sgd_0.5_5e-5_0_lognormal_0_0_cosine_no_bn_default_False_labels_FINAL - train_loss","r50_imagenet_sgd_0.5_5e-5_0_lognormal_0_0_cosine_no_bn_default_False_labels_FINAL - train_loss__MIN","r50_imagenet_sgd_0.5_5e-5_0_lognormal_0_0_cosine_no_bn_default_False_labels_FINAL - train_loss__MAX","r50_imagenet_sgd_eg_split_bias_0.4_5e-5_0_lognormal_0_0_cosine_no_bn_default_False_labels_FINAL - train_loss","r50_imagenet_sgd_eg_split_bias_0.4_5e-5_0_lognormal_0_0_cosine_no_bn_default_False_labels_FINAL - train_loss__MIN","r50_imagenet_sgd_eg_split_bias_0.4_5e-5_0_lognormal_0_0_cosine_no_bn_default_False_labels_FINAL - train_loss__MAX"
"471","6.271356582641602","6.271356582641602","6.271356582641602","6.328125953674316","6.328125953674316","6.328125953674316","6.307792663574219","6.307792663574219","6.307792663574219","6.697549343109131","6.697549343109131","6.697549343109131","6.530820369720459","6.530820369720459","6.530820369720459"
"476","6.3510589599609375","6.3510589599609375","6.3510589599609375","6.358499526977539","6.358499526977539","6.358499526977539","6.300148010253906","6.300148010253906","6.300148010253906","6.715028762817383","6.715028762817383","6.715028762817383","6.539597511291504","6.539597511291504","6.539597511291504"
"514","6.222972869873047","6.222972869873047","6.222972869873047","6.282022476196289","6.282022476196289","6.282022476196289","6.320837497711182","6.320837497711182","6.320837497711182","6.667492866516113","6.667492866516113","6.667492866516113","6.5170464515686035","6.5170464515686035","6.5170464515686035"
"518","6.191836357116699","6.191836357116699","6.191836357116699","6.295405387878418","6.295405387878418","6.295405387878418","6.313886642456055","6.313886642456055","6.313886642456055","6.668023586273193","6.668023586273193","6.668023586273193","6.439487457275391","6.439487457275391","6.439487457275391"
"533","6.1918535232543945","6.1918535232543945","6.1918535232543945","6.18991756439209","6.18991756439209","6.18991756439209","6.307807445526123","6.307807445526123","6.307807445526123","6.671274185180664","6.671274185180664","6.671274185180664","6.467344760894775","6.467344760894775","6.467344760894775"
"548","6.121728897094727","6.121728897094727","6.121728897094727","6.221737384796143","6.221737384796143","6.221737384796143","6.21714973449707","6.21714973449707","6.21714973449707","6.624752998352051","6.624752998352051","6.624752998352051","6.466126441955566","6.466126441955566","6.466126441955566"
"567","6.140772819519043","6.140772819519043","6.140772819519043","6.211448669433594","6.211448669433594","6.211448669433594","6.213991165161133","6.213991165161133","6.213991165161133","6.633885860443115","6.633885860443115","6.633885860443115","6.401670932769775","6.401670932769775","6.401670932769775"
"574","6.136081695556641","6.136081695556641","6.136081695556641","6.187244415283203","6.187244415283203","6.187244415283203","6.1816725730896","6.1816725730896","6.1816725730896","6.6158246994018555","6.6158246994018555","6.6158246994018555","6.4617767333984375","6.4617767333984375","6.4617767333984375"
"577","6.152371883392334","6.152371883392334","6.152371883392334","6.150989055633545","6.150989055633545","6.150989055633545","6.162430763244629","6.162430763244629","6.162430763244629","6.658729553222656","6.658729553222656","6.658729553222656","6.470757007598877","6.470757007598877","6.470757007598877"
"584","6.113896369934082","6.113896369934082","6.113896369934082","6.204652309417725","6.204652309417725","6.204652309417725","6.207586288452148","6.207586288452148","6.207586288452148","6.637146949768066","6.637146949768066","6.637146949768066","6.427122116088867","6.427122116088867","6.427122116088867"
"585","6.1044206619262695","6.1044206619262695","6.1044206619262695","6.219093322753906","6.219093322753906","6.219093322753906","6.194509029388428","6.194509029388428","6.194509029388428","6.610358715057373","6.610358715057373","6.610358715057373","6.483301162719727","6.483301162719727","6.483301162719727"
"588","6.117156505584717","6.117156505584717","6.117156505584717","6.1314311027526855","6.1314311027526855","6.1314311027526855","6.1749749183654785","6.1749749183654785","6.1749749183654785","6.6028008460998535","6.6028008460998535","6.6028008460998535","6.425606727600098","6.425606727600098","6.425606727600098"
"594","6.075601577758789","6.075601577758789","6.075601577758789","6.113088130950928","6.113088130950928","6.113088130950928","6.201519966125488","6.201519966125488","6.201519966125488","6.632141590118408","6.632141590118408","6.632141590118408","6.411736011505127","6.411736011505127","6.411736011505127"
"612","6.067447662353516","6.067447662353516","6.067447662353516","6.146330833435059","6.146330833435059","6.146330833435059","6.177236080169678","6.177236080169678","6.177236080169678","6.601761817932129","6.601761817932129","6.601761817932129","6.407932281494141","6.407932281494141","6.407932281494141"
"645","6.031225204467773","6.031225204467773","6.031225204467773","6.111672878265381","6.111672878265381","6.111672878265381","6.14215087890625","6.14215087890625","6.14215087890625","6.641993999481201","6.641993999481201","6.641993999481201","6.3567585945129395","6.3567585945129395","6.3567585945129395"
"651","6.057619571685791","6.057619571685791","6.057619571685791","6.0391435623168945","6.0391435623168945","6.0391435623168945","6.168308258056641","6.168308258056641","6.168308258056641","6.583815574645996","6.583815574645996","6.583815574645996","6.3522539138793945","6.3522539138793945","6.3522539138793945"
"662","5.93491792678833","5.93491792678833","5.93491792678833","5.98211669921875","5.98211669921875","5.98211669921875","6.128421306610107","6.128421306610107","6.128421306610107","6.576602935791016","6.576602935791016","6.576602935791016","6.3309454917907715","6.3309454917907715","6.3309454917907715"
"675","5.941656112670898","5.941656112670898","5.941656112670898","6.069626808166504","6.069626808166504","6.069626808166504","5.995604038238525","5.995604038238525","5.995604038238525","6.56178092956543","6.56178092956543","6.56178092956543","6.289949417114258","6.289949417114258","6.289949417114258"
"685","5.954070091247559","5.954070091247559","5.954070091247559","5.967628479003906","5.967628479003906","5.967628479003906","6.039485454559326","6.039485454559326","6.039485454559326","6.551301956176758","6.551301956176758","6.551301956176758","6.334724426269531","6.334724426269531","6.334724426269531"
"702","5.9465436935424805","5.9465436935424805","5.9465436935424805","6.036724090576172","6.036724090576172","6.036724090576172","5.924135684967041","5.924135684967041","5.924135684967041","6.542134761810303","6.542134761810303","6.542134761810303","6.330106258392334","6.330106258392334","6.330106258392334"
"751","5.864411354064941","5.864411354064941","5.864411354064941","5.940845489501953","5.940845489501953","5.940845489501953","5.942617893218994","5.942617893218994","5.942617893218994","6.490690231323242","6.490690231323242","6.490690231323242","6.229082107543945","6.229082107543945","6.229082107543945"
"754","5.906195163726807","5.906195163726807","5.906195163726807","5.923360347747803","5.923360347747803","5.923360347747803","5.9307146072387695","5.9307146072387695","5.9307146072387695","6.510810852050781","6.510810852050781","6.510810852050781","6.22153902053833","6.22153902053833","6.22153902053833"
"762","5.789673328399658","5.789673328399658","5.789673328399658","5.920101642608643","5.920101642608643","5.920101642608643","5.872880935668945","5.872880935668945","5.872880935668945","6.50003719329834","6.50003719329834","6.50003719329834","6.192032814025879","6.192032814025879","6.192032814025879"
"788","5.797186851501465","5.797186851501465","5.797186851501465","5.830188274383545","5.830188274383545","5.830188274383545","5.884903430938721","5.884903430938721","5.884903430938721","6.524141311645508","6.524141311645508","6.524141311645508","6.188485622406006","6.188485622406006","6.188485622406006"
"801","5.885630130767822","5.885630130767822","5.885630130767822","5.919126510620117","5.919126510620117","5.919126510620117","5.9832024574279785","5.9832024574279785","5.9832024574279785","6.4979753494262695","6.4979753494262695","6.4979753494262695","6.213987827301025","6.213987827301025","6.213987827301025"
"806","5.857460975646973","5.857460975646973","5.857460975646973","5.856098175048828","5.856098175048828","5.856098175048828","5.864957809448242","5.864957809448242","5.864957809448242","6.478504180908203","6.478504180908203","6.478504180908203","6.235795021057129","6.235795021057129","6.235795021057129"
"812","5.740231513977051","5.740231513977051","5.740231513977051","5.820111274719238","5.820111274719238","5.820111274719238","5.860373497009277","5.860373497009277","5.860373497009277","6.480627536773682","6.480627536773682","6.480627536773682","6.119595050811768","6.119595050811768","6.119595050811768"
"839","5.797731876373291","5.797731876373291","5.797731876373291","5.783261299133301","5.783261299133301","5.783261299133301","5.793212890625","5.793212890625","5.793212890625","6.4415740966796875","6.4415740966796875","6.4415740966796875","6.075915336608887","6.075915336608887","6.075915336608887"
"881","5.737325191497803","5.737325191497803","5.737325191497803","5.753382682800293","5.753382682800293","5.753382682800293","5.822324752807617","5.822324752807617","5.822324752807617","6.410815715789795","6.410815715789795","6.410815715789795","6.153590202331543","6.153590202331543","6.153590202331543"
"882","5.692732810974121","5.692732810974121","5.692732810974121","5.726330280303955","5.726330280303955","5.726330280303955","5.851675510406494","5.851675510406494","5.851675510406494","6.446351528167725","6.446351528167725","6.446351528167725","6.094162940979004","6.094162940979004","6.094162940979004"
"884","5.715710639953613","5.715710639953613","5.715710639953613","5.718990802764893","5.718990802764893","5.718990802764893","5.831947326660156","5.831947326660156","5.831947326660156","6.470583915710449","6.470583915710449","6.470583915710449","6.147140026092529","6.147140026092529","6.147140026092529"
"885","5.694594860076904","5.694594860076904","5.694594860076904","5.746187686920166","5.746187686920166","5.746187686920166","5.729471206665039","5.729471206665039","5.729471206665039","6.438445568084717","6.438445568084717","6.438445568084717","6.098667144775391","6.098667144775391","6.098667144775391"
"913","5.693506717681885","5.693506717681885","5.693506717681885","5.79107141494751","5.79107141494751","5.79107141494751","5.76295804977417","5.76295804977417","5.76295804977417","6.410356521606445","6.410356521606445","6.410356521606445","6.082791328430176","6.082791328430176","6.082791328430176"
"921","5.731095790863037","5.731095790863037","5.731095790863037","5.6408891677856445","5.6408891677856445","5.6408891677856445","5.713386058807373","5.713386058807373","5.713386058807373","6.3696489334106445","6.3696489334106445","6.3696489334106445","6.069880962371826","6.069880962371826","6.069880962371826"
"938","5.6751017570495605","5.6751017570495605","5.6751017570495605","5.691012382507324","5.691012382507324","5.691012382507324","5.731980323791504","5.731980323791504","5.731980323791504","6.407948970794678","6.407948970794678","6.407948970794678","6.057101249694824","6.057101249694824","6.057101249694824"
"947","5.717422008514404","5.717422008514404","5.717422008514404","5.67464017868042","5.67464017868042","5.67464017868042","5.608851432800293","5.608851432800293","5.608851432800293","6.404324531555176","6.404324531555176","6.404324531555176","6.057852268218994","6.057852268218994","6.057852268218994"
"961","5.588951587677002","5.588951587677002","5.588951587677002","5.696333408355713","5.696333408355713","5.696333408355713","5.627955436706543","5.627955436706543","5.627955436706543","6.364418983459473","6.364418983459473","6.364418983459473","6.134681701660156","6.134681701660156","6.134681701660156"
"962","5.698359966278076","5.698359966278076","5.698359966278076","5.690133094787598","5.690133094787598","5.690133094787598","5.655859470367432","5.655859470367432","5.655859470367432","6.414187908172607","6.414187908172607","6.414187908172607","6.028317928314209","6.028317928314209","6.028317928314209"
"964","5.583107948303223","5.583107948303223","5.583107948303223","5.6129045486450195","5.6129045486450195","5.6129045486450195","5.666061878204346","5.666061878204346","5.666061878204346","6.332878112792969","6.332878112792969","6.332878112792969","6.087812900543213","6.087812900543213","6.087812900543213"
